detected_pump,real_pump,model,1_1,,,1_2,,,2_1,,,2_2,,,3_1,,,3_2,,,3_3,,
1,1,3,-71,-72,-71,-82,-84,-85,-90,-90,-90,-88,-88,-90,-62,-62,-63,-82,-82,-82,-88,-89,-88
1,1,2,-69,-71,-72,-87,-86,-88,-94,-110,-120,-90,-90,-106,-72,-69,-72,-89,-86,-86,-92,-92,-108
1,1,3,-66,-67,-71,-85,-90,-92,-86,-87,-89,-83,-84,-88,-77,-74,-71,-82,-84,-85,-87,-90,-106
3,3,3,,,,-84,-83,-86,-73,-75,-75,-86,-87,-88,-72,-71,-72,-80,-81,-82,,,
1,1,3,-68,-67,-68,-84,-87,-84,-89,-89,-88,-104,-120,-90,-63,-63,-63,-81,-80,-80,-87,-86,-86
1,1,3,-67,-66,-66,-86,-86,-86,-90,-106,-120,-88,-87,-88,-67,-66,-63,-85,-83,-86,,,
1,1,3,-71,-70,-69,-85,-84,-85,-89,-88,-88,-88,-90,-90,-63,-63,-63,-84,-84,-85,-88,-87,-86
1,1,2,-70,-66,-66,-88,-104,-120,-90,-90,-88,-87,-86,-86,-65,-66,-67,-104,-89,-105,,,
1,1,3,-70,-70,-74,-84,-84,-87,,,,,,,-73,-72,-73,-82,-83,-83,,,
1,1,3,-71,-72,-71,-85,-85,-84,-88,-89,-89,-89,-88,-87,-64,-63,-63,-84,-85,-86,-87,-87,-87
1,1,2,-86,-88,-86,-87,-86,-90,,,,-90,-90,-89,-74,-75,-75,-90,-88,-89,,,
1,1,3,-69,-69,-69,-86,-87,-86,-89,-89,-89,-88,-87,-88,-64,-64,-64,-84,-81,-81,-88,-90,-90
1,1,2,-70,-70,-70,-82,-83,-82,,,,,,,-74,-75,-77,-88,-88,-89,,,
1,1,3,-82,-79,-76,-81,-82,-82,-89,-89,-91,,,,-75,-76,-75,-91,-91,-89,,,
1,1,3,-70,-70,-70,-85,-83,-83,-89,-89,-91,-89,-89,-105,-64,-64,-64,-82,-85,-84,-90,-87,-85
1,1,2,-72,-81,-79,-89,-90,-92,,,,-88,-92,-108,-73,-75,-75,-90,-90,-89,,,
1,1,3,-71,-72,-70,-89,-90,-106,,,,-92,-108,-91,-73,-74,-74,-82,-84,-83,-107,-120,-120
1,1,3,-69,-69,-68,-89,-90,-106,-92,-91,-107,-89,-89,-88,-71,-69,-68,-81,-81,-82,,,
5,5,1,-91,-107,-120,-76,-77,-77,,,,,,,,,,-84,-80,-80,,,
1,1,3,-67,-66,-66,-88,-90,-87,-89,-89,-89,-88,-89,-89,-71,-68,-67,-86,-82,-81,-93,-92,-108
1,1,2,-72,-72,-72,-105,-91,-107,,,,,,,-78,-79,-77,-86,-87,-87,,,
1,1,3,-67,-69,-68,-87,-86,-86,,,,-90,-90,-89,-70,-70,-70,-83,-84,-83,,,
1,1,2,-78,-82,-80,-107,-120,-120,,,,-107,-120,-120,-82,-82,-82,-86,-91,-91,,,
1,1,3,-70,-70,-70,-87,-86,-84,-106,-120,-89,-91,-91,-88,-68,-67,-67,-80,-81,-82,,,
1,1,3,-69,-70,-70,-87,-87,-85,,,,-89,-90,-86,-69,-70,-70,-83,-82,-83,,,
1,1,2,-82,-79,-82,-91,-91,-88,-107,-120,-120,-87,-87,-86,-81,-73,-78,-88,-89,-90,,,
1,1,3,-69,-69,-68,,,,-91,-91,-107,-89,-90,-89,-67,-67,-67,-85,-84,-83,,,
1,1,3,-70,-71,-71,-87,-88,-90,-91,-92,-108,-88,-88,-87,-71,-71,-71,-86,-88,-87,,,
1,1,3,-71,-71,-73,-91,-85,-86,-92,-92,-90,,,,-71,-75,-77,-89,-89,-93,,,
1,1,3,-70,-71,-70,-91,-88,-88,-104,-120,-120,-105,-87,-88,-70,-69,-70,-82,-81,-81,,,
1,1,2,-76,-71,-76,-90,-106,-120,,,,,,,-79,-80,-79,-93,-109,-120,,,
1,1,3,-72,-74,-72,-89,-105,-91,,,,-92,-92,-91,-73,-72,-71,-87,-92,-89,,,
1,1,3,-72,-70,-73,-88,-104,-90,,,,-90,-106,-120,-71,-68,-65,-84,-83,-84,,,
1,1,2,-76,-78,-80,-84,-88,-104,,,,,,,-78,-77,-79,-86,-87,-103,,,
1,1,3,-71,-70,-70,-86,-83,-85,,,,,,,-73,-74,-74,-85,-87,-86,,,
1,1,3,-71,-64,-68,-88,-86,-85,-91,-90,-88,-92,-92,-90,-79,-79,-77,-83,-81,-84,,,
1,1,3,-67,-67,-67,-82,-81,-81,-84,-86,-84,-87,-86,-89,-70,-71,-69,-82,-80,-83,-87,-87,-88
1,1,2,-72,-82,-76,-87,-85,-84,-90,-90,-90,-90,-90,-88,-82,-77,-75,-80,-84,-83,-92,-91,-93
1,1,3,-75,-76,-74,-85,-83,-81,,,,-89,-88,-89,-82,-82,-82,-81,-81,-81,-89,-90,-106
1,1,2,-76,-77,-80,-88,-87,-86,-93,-93,-95,-89,-88,-87,-76,-79,-74,-89,-89,-90,-91,-107,-120
1,1,3,-64,-64,-67,-81,-82,-86,-88,-88,-88,-88,-104,-90,-77,-75,-76,-79,-84,-83,-88,-89,-89
3,3,2,,,,,,,-80,-79,-79,,,,-74,-78,-82,-91,-90,-106,,,
1,1,3,-78,-72,-72,-85,-84,-86,-94,-88,-89,-88,-88,-89,-79,-81,-81,-84,-82,-85,-90,-88,-88
1,1,2,-79,-82,-81,-86,-84,-85,-87,-86,-85,-90,-88,-91,-80,-80,-79,-83,-84,-84,-93,-93,-96
1,1,3,-71,-71,-69,-89,-89,-89,-89,-89,-88,-89,-90,-90,-73,-73,-74,-85,-88,-84,-88,-89,-89
1,1,3,-75,-72,-70,-84,-84,-84,-90,-90,-88,-88,-89,-92,-78,-80,-87,-81,-81,-82,,,
1,1,2,-81,-87,-80,-105,-92,-89,-100,-87,-88,-89,-89,-89,-87,-83,-81,-88,-88,-104,,,
1,1,3,-69,-70,-69,-83,-87,-89,-89,-90,-91,-87,-87,-88,-73,-73,-74,-81,-83,-83,-90,-89,-89
1,1,3,-70,-72,-72,-89,-89,-89,-89,-89,-88,-89,-90,-92,-73,-73,-73,-83,-83,-84,-90,-90,-89
2,1,3,-70,-71,-71,-82,-86,-85,-89,-88,-90,,,,-82,-82,-83,-81,-84,-85,-91,-90,-106
1,1,2,-79,-83,-83,-86,-86,-87,-89,-87,-88,-90,-90,-90,-80,-79,-80,-86,-84,-84,-91,-91,-91
1,1,3,-69,-71,-71,-88,-89,-89,-87,-88,-88,-87,-88,-87,-73,-74,-75,-83,-84,-82,-90,-90,-92
1,1,3,-74,-80,-81,-82,-83,-82,-88,-90,-90,-88,-91,-91,-83,-81,-86,-85,-89,-86,-90,-106,-120
1,1,2,-79,-79,-80,-84,-85,-90,-88,-104,-120,,,,-68,-68,-69,-89,-87,-89,,,
3,3,2,,,,,,,-75,-91,-75,,,,-83,-84,-85,-89,-89,-90,,,
1,1,3,-70,-71,-71,-88,-88,-88,-87,-87,-88,-89,-91,-88,-76,-74,-74,-88,-89,-92,-89,-90,-91
1,1,3,-78,-79,-78,-81,-85,-89,-108,-120,-89,-90,-91,-88,-82,-77,-73,-84,-83,-81,-94,-89,-105
1,1,2,-74,-79,-78,-85,-83,-87,-86,-85,-85,-90,-84,-85,-75,-75,-74,-82,-81,-80,-87,-88,-91
1,1,3,-68,-64,-64,-85,-84,-85,-87,-103,-119,-88,-89,-90,-75,-79,-80,-79,-78,-82,-91,-91,-92
1,1,3,-71,-72,-77,-87,-85,-86,-89,-89,-92,-88,-89,-87,-74,-75,-75,-80,-81,-83,-86,-91,-89
1,1,2,-84,-87,-72,-86,-86,-83,-91,-87,-88,-89,-89,-89,-77,-81,-81,-86,-86,-86,,,
3,3,1,,,,,,,-81,-80,-79,,,,-107,-120,-120,,,,,,
2,1,3,-69,-69,-71,-84,-84,-80,-88,-91,-93,-90,-89,-86,-79,-80,-76,-79,-78,-77,-87,-89,-90
1,1,3,-78,-75,-74,-88,-87,-85,-87,-86,-85,-86,-85,-84,-77,-75,-73,-80,-81,-79,-91,-107,-90
1,1,2,-79,-80,-80,-90,-89,-86,-84,-84,-86,-86,-86,-85,-82,-82,-82,-83,-82,-85,-109,-120,-120
1,1,3,-75,-76,-75,-86,-85,-85,-92,-108,-91,-89,-91,-90,-73,-72,-71,-84,-84,-82,-107,-120,-120
1,1,3,-74,-75,-76,-86,-86,-86,-105,-120,-120,-106,-120,-120,-81,-82,-82,-83,-85,-85,-107,-120,-120
1,1,3,-75,-75,-75,-84,-85,-85,-86,-86,-86,-92,-92,-92,-73,-73,-73,-83,-80,-81,-91,-88,-90
1,1,2,-85,-82,-82,-85,-85,-91,-90,-106,-90,-87,-89,-105,-81,-79,-78,-84,-83,-83,,,
1,1,3,-70,-67,-66,-87,-80,-80,,,,,,,-80,-85,-85,-85,-80,-79,-90,-106,-120
1,1,3,-70,-70,-71,-88,-83,-89,-85,-86,-86,-107,-90,-106,-78,-76,-75,-84,-85,-83,-89,-90,-90
1,1,3,-76,-77,-76,-84,-86,-83,-86,-86,-86,-90,-90,-106,-75,-78,-76,-79,-81,-80,-90,-90,-88
1,1,2,-78,-77,-78,-83,-81,-81,-91,-90,-88,-106,-93,-93,-80,-77,-77,-83,-78,-81,-92,-92,-89
1,1,3,-72,-70,-70,-86,-86,-78,-83,-83,-88,-89,-89,-83,-74,-73,-72,-83,-82,-78,-89,-89,-93
3,3,3,,,,-90,-90,-90,-71,-73,-73,,,,-72,-76,-74,-88,-87,-86,,,
1,1,2,-82,-80,-82,-85,-89,-84,-85,-87,-90,-91,-89,-91,-76,-76,-74,-77,-83,-88,-91,-94,-110
1,1,3,-74,-71,-69,-90,-92,-108,,,,,,,-80,-83,-86,-87,-103,-91,,,
3,3,3,-87,-88,-89,-86,-87,-89,-78,-79,-80,-89,-88,-95,-72,-71,-71,-79,-81,-82,,,
3,3,2,-87,-87,-93,-86,-89,-87,-76,-78,-81,-93,-109,-120,-80,-82,-86,-85,-87,-87,,,
3,3,3,-90,-88,-89,-84,-90,-91,-82,-81,-83,-104,-92,-94,-74,-76,-73,-85,-87,-86,,,
3,3,3,-88,-85,-86,-86,-89,-88,-80,-82,-81,-92,-108,-120,-71,-69,-69,-78,-78,-83,,,
3,3,2,,,,-92,-85,-86,-85,-85,-83,,,,-85,-82,-89,-90,-87,-88,,,
3,3,2,,,,,,,-82,-84,-84,,,,-83,-84,-84,,,,,,
3,3,3,-87,-89,-105,-87,-91,-107,-78,-78,-80,,,,-76,-78,-80,-85,-86,-85,,,
3,3,3,-87,-87,-88,-88,-89,-89,-80,-80,-81,,,,-70,-70,-70,-76,-76,-79,,,
4,3,2,,,,-88,-88,-86,-79,-78,-77,-90,-90,-89,-81,-75,-75,-85,-82,-82,,,
3,3,3,,,,-91,-84,-83,-80,-77,-77,-92,-87,-87,-78,-75,-75,-82,-82,-85,,,
3,3,3,-86,-86,-88,-89,-87,-87,-78,-78,-78,-88,-86,-93,-71,-71,-72,-82,-79,-78,,,
3,3,2,,,,-90,-90,-106,-82,-85,-82,,,,-83,-86,-78,-87,-88,-83,,,
3,3,3,-86,-88,-87,-87,-87,-88,-81,-83,-83,-88,-87,-91,-77,-78,-79,-87,-80,-77,,,
3,3,3,-94,-94,-110,-87,-86,-85,-75,-75,-75,-90,-90,-88,-72,-71,-72,-82,-82,-83,,,
3,3,3,-105,-120,-89,-81,-84,-89,-74,-75,-73,-89,-87,-83,-74,-75,-77,-83,-85,-83,-91,-91,-92
3,3,3,-89,-88,-87,-88,-88,-85,-76,-77,-78,-88,-88,-90,-73,-72,-72,-81,-82,-80,,,
3,3,2,,,,-86,-83,-84,-82,-79,-75,-85,-89,-91,-82,-81,-83,-84,-83,-99,,,
3,3,3,-91,-107,-120,-86,-87,-87,-84,-78,-75,-89,-89,-87,-75,-74,-70,-82,-83,-84,,,
3,3,3,-90,-92,-91,-85,-86,-86,-75,-75,-75,,,,-72,-75,-75,-80,-79,-79,,,
4,3,3,-92,-92,-90,-87,-87,-89,-80,-79,-81,-89,-89,-89,-79,-80,-79,-77,-80,-81,,,
3,3,2,,,,-105,-120,-90,-90,-90,-86,-93,-93,-91,-92,-87,-84,-106,-90,-91,,,
3,3,2,,,,,,,-80,-79,-83,,,,-86,-85,-84,,,,,,
3,3,3,-91,-90,-90,-91,-91,-90,-79,-81,-83,-89,-89,-90,-80,-81,-89,-82,-83,-81,,,
3,3,3,-90,-89,-89,-86,-86,-86,-77,-79,-78,-88,-88,-87,-70,-72,-70,-82,-83,-82,,,
3,3,2,,,,-85,-85,-89,-74,-74,-81,-86,-85,-85,-81,-86,-80,-82,-81,-83,,,
3,3,3,-90,-106,-120,-85,-84,-84,-71,-70,-70,-91,-107,-120,-78,-78,-80,-87,-83,-83,,,
3,3,3,-89,-105,-120,-85,-88,-91,-79,-78,-82,-91,-90,-84,-72,-71,-70,-84,-83,-82,,,
3,3,2,,,,-89,-87,-86,-77,-89,-83,-85,-86,-89,-79,-78,-78,-83,-88,-89,,,
3,3,3,-92,-94,-90,-88,-88,-91,-75,-76,-76,,,,-72,-71,-73,-82,-80,-81,,,
3,3,3,,,,,,,-85,-84,-83,,,,-90,-90,-90,,,,,,
3,3,3,,,,-90,-89,-90,-81,-82,-82,-84,-86,-86,-70,-70,-69,-81,-82,-83,,,
3,3,2,,,,-92,-91,-90,-79,-81,-81,-88,-91,-88,-75,-77,-77,-81,-81,-82,,,
4,3,3,-86,-86,-87,-107,-120,-120,-74,-73,-73,,,,-79,-79,-81,-78,-78,-79,,,
3,3,3,-88,-87,-85,-88,-87,-87,-79,-82,-79,-89,-105,-120,-70,-72,-73,-82,-82,-82,,,
3,3,2,,,,-93,-89,-91,-75,-84,-100,-90,-106,-120,-80,-83,-88,-82,-89,-89,,,
3,3,3,,,,-86,-87,-86,-83,-78,-79,-89,-89,-89,-78,-77,-77,-77,-77,-79,,,
3,3,2,,,,-83,-83,-83,-78,-77,-77,,,,-79,-79,-81,-80,-80,-80,,,
3,3,3,-86,-87,-87,-83,-85,-86,-77,-76,-75,-87,-87,-86,-73,-73,-72,-81,-80,-80,,,
3,3,3,-106,-92,-93,-89,-92,-90,-78,-82,-81,-90,-89,-89,-81,-80,-81,-84,-84,-85,,,
3,3,2,-90,-93,-109,-91,-91,-88,-78,-79,-85,-89,-91,-107,-77,-78,-79,-86,-88,-83,,,
3,3,3,-106,-120,-120,-80,-81,-86,-75,-78,-80,-89,-88,-92,-74,-74,-75,-83,-80,-79,,,
3,3,3,-89,-105,-91,-90,-106,-120,-75,-74,-72,-90,-90,-90,-70,-70,-74,-84,-90,-90,,,
3,3,2,,,,-93,-92,-108,-75,-74,-78,-89,-105,-120,-79,-77,-76,-86,-87,-87,,,
3,3,3,-109,-89,-93,-90,-92,-93,-73,-77,-73,-88,-87,-87,-72,-72,-73,-87,-88,-89,,,
3,3,3,-90,-90,-89,-90,-90,-89,-75,-76,-73,-90,-87,-87,-75,-77,-76,-86,-84,-82,,,
3,3,3,,,,-91,-94,-110,-74,-76,-75,-89,-105,-120,-76,-85,-85,-86,-88,-87,,,
3,3,3,-89,-90,-90,-110,-120,-120,-80,-76,-75,-86,-89,-88,-78,-78,-77,-84,-85,-87,,,
3,3,3,,,,-91,-90,-106,-75,-74,-73,-90,-90,-90,-80,-80,-79,-86,-85,-89,,,
3,3,1,,,,,,,-84,-79,-78,-91,-90,-89,-90,-90,-89,-120,-120,-120,,,
3,3,3,,,,-92,-92,-91,-75,-76,-76,-87,-86,-86,-79,-78,-76,-85,-86,-86,,,
3,3,2,,,,-91,-90,-87,-75,-74,-71,-91,-91,-91,-80,-77,-76,-86,-85,-88,,,
3,3,3,,,,-90,-90,-106,-79,-76,-76,-87,-87,-89,-77,-78,-77,-84,-83,-84,,,
3,3,3,,,,-90,-90,-106,-72,-72,-72,-91,-92,-108,-78,-78,-81,-88,-85,-86,,,
3,3,3,,,,,,,-84,-86,-85,,,,-90,-90,-89,,,,,,
3,3,1,,,,-90,-90,-90,-79,-79,-83,-88,-90,-106,-90,-90,-89,-90,-91,-107,,,
3,3,2,,,,-91,-91,-85,-70,-76,-79,-87,-92,-108,-78,-78,-79,-86,-87,-89,,,
3,3,3,,,,,,,-78,-74,-73,-86,-88,-88,-77,-78,-77,-84,-85,-84,,,
3,3,3,-88,-86,-84,-92,-90,-106,-71,-72,-73,-86,-84,-83,-75,-71,-71,-87,-87,-89,,,
3,3,1,,,,-109,-120,-120,-80,-79,-82,-91,-90,-89,-90,-90,-92,-89,-92,-108,,,
3,3,2,,,,-88,-92,-91,-72,-71,-74,,,,-83,-71,-73,-88,-91,-89,,,
3,3,3,-91,-107,-120,-88,-90,-92,-69,-75,-76,-83,-89,-93,-72,-73,-72,-84,-83,-84,,,
3,3,3,-90,-88,-90,-91,-89,-91,-75,-72,-68,-90,-88,-88,-76,-75,-74,-84,-86,-90,,,
3,3,2,-91,-91,-91,-90,-90,-90,-71,-72,-72,-90,-90,-87,-77,-79,-80,-89,-84,-86,,,
3,3,3,,,,-106,-90,-88,-80,-77,-76,-91,-90,-90,-74,-75,-77,-87,-88,-86,,,
3,3,3,,,,-88,-90,-106,-76,-72,-72,-88,-90,-106,-71,-71,-73,-88,-88,-88,,,
4,3,1,,,,,,,-84,-78,-78,-90,-90,-106,-94,-94,-95,-91,-107,-120,,,
4,3,2,,,,-91,-107,-120,-75,-79,-83,,,,-81,-77,-84,-87,-89,-89,,,
3,3,3,,,,-90,-89,-89,-76,-76,-76,-90,-88,-91,-81,-80,-82,-87,-88,-88,,,
3,3,3,,,,-92,-92,-92,-71,-71,-72,,,,-75,-75,-74,-88,-86,-86,,,
3,3,2,,,,,,,-82,-84,-84,-90,-106,-120,-84,-82,-83,-87,-87,-103,,,
3,3,3,,,,-90,-106,-120,-75,-73,-76,-91,-89,-90,-78,-81,-82,-87,-85,-84,,,
3,3,2,,,,-92,-92,-88,-68,-68,-69,-89,-105,-120,-74,-73,-75,-85,-86,-86,,,
3,3,3,,,,-88,-89,-90,-75,-76,-77,-93,-93,-91,-77,-75,-72,-91,-83,-86,,,
3,3,3,,,,-89,-89,-89,-72,-72,-73,-87,-86,-86,-73,-75,-77,-87,-84,-85,,,
3,3,2,,,,-85,-101,-85,-72,-73,-72,-84,-90,-106,-75,-74,-82,-85,-84,-85,,,
3,3,3,,,,-90,-90,-106,-77,-76,-74,-91,-91,-107,-76,-75,-74,-86,-85,-81,,,
3,3,3,,,,-91,-91,-90,-74,-74,-72,-88,-88,-88,-77,-78,-75,-88,-89,-89,,,
3,3,1,,,,-90,-89,-93,-79,-75,-77,-85,-87,-90,-89,-89,-88,-90,-92,-89,,,
3,3,3,-94,-94,-110,-88,-91,-90,-75,-77,-79,-89,-85,-82,-76,-74,-72,-83,-87,-85,,,
3,3,2,,,,-91,-88,-91,-79,-81,-84,-89,-89,-105,-75,-75,-81,-84,-84,-100,,,
3,3,3,-90,-90,-92,-89,-89,-105,-76,-77,-82,-91,-90,-94,-74,-73,-74,-85,-83,-79,,,
3,3,1,,,,,,,-73,-72,-72,-108,-120,-120,-88,-87,-88,-90,-88,-89,,,
3,3,3,,,,,,,-86,-86,-85,-86,-88,-88,-82,-82,-81,-87,-86,-86,-90,-106,-89
4,3,3,,,,-120,-120,-120,-85,-83,-82,-86,-87,-85,-73,-73,-73,-86,-85,-85,-89,-105,-120
3,3,2,,,,,,,-87,-84,-89,-86,-102,-118,-83,-81,-85,-91,-90,-91,,,
3,3,3,,,,-89,-89,-90,-75,-77,-78,-87,-86,-85,-72,-71,-71,-86,-82,-83,-88,-88,-89
3,3,2,,,,,,,-85,-84,-80,,,,-79,-78,-86,-87,-84,-84,,,
3,3,3,-120,-120,-120,-89,-105,-120,-82,-84,-81,-92,-90,-91,-85,-86,-85,-86,-86,-87,-120,-120,-120
3,3,2,,,,,,,-85,-92,-91,-87,-88,-88,-84,-83,-84,-86,-88,-87,,,
3,3,3,,,,-109,-120,-120,-78,-75,-74,-87,-88,-88,-73,-73,-73,-81,-83,-85,-91,-107,-120
3,3,3,-120,-120,-120,-91,-91,-91,-78,-82,-84,-91,-89,-89,-83,-84,-87,-87,-87,-85,,,
3,3,3,-88,-104,-120,-89,-91,-93,-71,-80,-83,-86,-85,-87,-74,-76,-75,-81,-81,-79,,,
4,3,3,,,,-87,-87,-87,-82,-84,-85,-87,-90,-89,-84,-83,-83,-83,-84,-84,,,
3,3,1,,,,,,,-73,-72,-72,,,,-90,-90,-90,,,,,,
3,3,2,-90,-106,-120,-91,-85,-84,-86,-87,-87,-92,-108,-120,-85,-87,-85,-106,-120,-92,,,
3,3,3,-88,-91,-87,-83,-84,-89,-77,-76,-73,-80,-83,-90,-76,-77,-76,-83,-84,-83,-89,-105,-120
3,3,3,,,,-89,-90,-106,-76,-77,-78,-87,-87,-87,-70,-70,-70,-87,-87,-86,,,
3,3,2,-93,-93,-95,,,,-86,-80,-80,-90,-89,-89,-84,-80,-79,-86,-87,-87,,,
3,3,3,,,,-108,-94,-90,-77,-78,-79,-87,-88,-90,-71,-72,-72,-89,-89,-89,,,
3,3,3,-90,-90,-90,-91,-91,-90,-80,-84,-86,-91,-90,-88,-75,-80,-79,-86,-86,-85,,,
3,3,2,-90,-106,-120,,,,-83,-82,-79,-90,-84,-84,-86,-86,-87,-88,-85,-86,,,
3,3,3,,,,-90,-106,-120,-79,-80,-79,-86,-88,-87,-74,-74,-76,-83,-82,-83,-92,-108,-92
3,3,3,,,,,,,-77,-79,-82,-86,-88,-88,-77,-79,-81,-87,-85,-82,-91,-91,-92
3,3,2,,,,-90,-90,-92,-88,-87,-85,-86,-86,-86,-73,-73,-74,-88,-85,-85,,,
3,3,3,,,,,,,-90,-106,-86,-88,-88,-88,-75,-76,-76,-84,-85,-85,,,
4,3,3,,,,,,,-81,-75,-74,-89,-90,-86,-86,-84,-85,-87,-87,-88,,,
3,3,2,,,,,,,-86,-86,-86,-90,-106,-89,-75,-75,-76,-85,-90,-89,,,
3,3,3,,,,,,,-75,-74,-74,-86,-92,-89,-83,-84,-83,-88,-86,-86,,,
3,3,2,,,,,,,-87,-84,-83,-86,-87,-88,-78,-79,-81,-89,-90,-91,,,
3,3,3,,,,,,,-86,-87,-87,-91,-91,-90,-76,-76,-77,-83,-83,-84,,,
3,3,1,,,,,,,-74,-73,-73,-96,-96,-91,-89,-88,-88,-120,-120,-91,,,
3,3,3,-90,-90,-90,-105,-120,-120,-74,-75,-74,-86,-86,-82,-73,-73,-73,-87,-84,-85,,,
3,3,3,,,,,,,-78,-78,-78,-87,-88,-104,-80,-79,-78,-92,-91,-89,,,
3,3,3,,,,,,,-75,-76,-78,-86,-87,-86,-72,-72,-74,-89,-88,-88,,,
5,5,3,-82,-82,-82,-79,-77,-78,,,,,,,-86,-86,-90,-73,-73,-75,-83,-84,-84
5,5,3,-81,-82,-82,-79,-77,-78,-92,-91,-91,,,,-84,-88,-88,-76,-75,-76,-83,-84,-83
5,5,3,-77,-79,-81,-78,-77,-80,,,,-90,-106,-120,-80,-84,-83,-78,-75,-73,-84,-84,-83
5,5,3,-77,-80,-80,-73,-76,-72,,,,,,,-82,-82,-81,-76,-75,-77,-87,-86,-84
5,5,3,-81,-82,-81,-76,-77,-76,,,,,,,-80,-82,-82,-75,-74,-75,-86,-86,-84
5,5,3,-80,-80,-83,-78,-79,-78,,,,-93,-93,-92,-83,-87,-85,-77,-74,-74,-84,-86,-84
5,5,3,-78,-79,-79,-73,-74,-78,,,,-91,-107,-120,-81,-79,-82,-73,-74,-74,-86,-82,-82
5,5,3,-79,-78,-79,-76,-76,-79,,,,,,,-81,-81,-81,-77,-76,-76,-85,-83,-84
5,5,3,-80,-80,-81,-74,-77,-78,,,,-90,-90,-106,-82,-81,-82,-76,-78,-77,-84,-86,-84
5,5,3,-82,-81,-81,-81,-78,-79,,,,-91,-91,-90,-80,-80,-82,-75,-74,-74,-87,-85,-83
5,5,3,-80,-80,-81,-77,-77,-78,,,,,,,-82,-83,-84,-74,-73,-75,-83,-82,-83
5,5,1,,,,-90,-90,-90,,,,,,,,,,-92,-92,-94,,,
5,5,3,-80,-81,-81,-78,-77,-77,,,,-91,-91,-91,-81,-81,-86,-74,-74,-76,-83,-82,-83
5,5,3,-81,-82,-81,-79,-76,-77,,,,-91,-91,-89,-83,-86,-85,-75,-74,-75,-84,-84,-85
5,5,3,-93,-92,-108,-76,-77,-78,,,,,,,,,,-77,-75,-75,-88,-90,-88
5,5,3,-86,-85,-84,-70,-70,-71,,,,-90,-89,-90,-89,-88,-87,-65,-66,-66,-84,-84,-85
5,5,3,-82,-82,-84,-77,-74,-76,,,,-89,-89,-90,-93,-90,-106,-68,-67,-68,-90,-87,-87
5,5,3,-86,-87,-88,-71,-71,-71,,,,,,,-92,-89,-89,-66,-66,-66,-85,-87,-87
5,5,2,-84,-86,-85,-74,-75,-72,,,,,,,-93,-88,-90,-76,-75,-75,-89,-89,-89
5,5,3,-89,-88,-87,-73,-72,-71,,,,,,,-88,-89,-89,-64,-65,-65,-88,-86,-85
5,5,3,-85,-86,-85,-76,-77,-74,-93,-109,-120,-87,-93,-109,,,,-71,-69,-69,-90,-86,-83
5,5,2,-83,-83,-83,-67,-67,-72,,,,,,,-90,-92,-108,-71,-70,-73,-84,-87,-84
5,5,3,-88,-88,-87,-71,-72,-70,,,,-92,-91,-90,-89,-90,-90,-66,-66,-66,-87,-86,-86
5,5,3,-82,-81,-81,-79,-73,-73,,,,,,,-88,-90,-89,-67,-67,-69,-83,-84,-83
5,5,2,-89,-89,-88,-72,-72,-70,,,,,,,,,,-73,-69,-70,-86,-87,-87
5,5,3,-83,-84,-85,-74,-75,-73,,,,,,,-90,-92,-108,-68,-68,-72,-84,-86,-85
5,5,3,-106,-90,-90,-77,-76,-76,,,,,,,,,,-78,-76,-77,-92,-92,-93
5,5,3,-83,-84,-82,-69,-67,-69,,,,-88,-90,-88,-88,-85,-86,-74,-71,-72,-84,-85,-86
5,5,2,-87,-103,-119,-83,-83,-76,,,,-95,-89,-105,,,,-84,-74,-71,-84,-85,-88
5,5,3,-86,-85,-85,-75,-77,-71,,,,-91,-91,-90,-93,-92,-90,-75,-73,-71,-89,-84,-87
5,5,3,-90,-89,-89,-78,-77,-78,,,,,,,,,,-77,-76,-75,-88,-89,-89
5,5,3,-86,-85,-82,-69,-71,-70,-92,-108,-90,-90,-88,-86,-90,-92,-92,-66,-68,-66,-86,-85,-86
5,5,2,-83,-86,-87,-73,-72,-71,,,,,,,-88,-87,-89,-69,-68,-66,-86,-87,-86
5,5,3,-82,-83,-83,-70,-69,-71,-90,-90,-90,,,,,,,-66,-66,-66,-88,-89,-88
5,5,3,-87,-87,-88,-79,-79,-76,,,,,,,,,,-74,-76,-75,-88,-90,-88
5,5,3,-86,-86,-87,-75,-75,-74,,,,-90,-90,-89,-91,-107,-91,-71,-72,-70,-85,-85,-89
5,5,3,-84,-84,-87,-78,-77,-77,-92,-92,-108,-88,-88,-87,-91,-107,-120,-72,-71,-74,-87,-88,-90
5,5,3,-85,-85,-85,-72,-72,-70,-90,-89,-90,,,,,,,-64,-63,-65,-86,-88,-89
5,5,2,-86,-102,-85,-66,-67,-68,,,,-91,-91,-107,-91,-88,-88,-73,-79,-77,-88,-85,-84
5,5,3,-107,-91,-91,-77,-76,-78,,,,,,,,,,-74,-74,-77,-90,-88,-90
5,5,3,-84,-85,-88,-72,-70,-70,,,,-92,-92,-108,-90,-94,-92,-70,-69,-74,-84,-84,-84
5,5,2,-81,-90,-106,-65,-85,-84,,,,-85,-101,-117,-93,-94,-110,-71,-71,-73,-83,-84,-85
5,5,3,-85,-84,-87,-71,-71,-70,,,,-91,-91,-107,-88,-88,-90,-65,-65,-68,-88,-88,-87
